Fold      Accuracy    Precision     Recall
------  ----------  -----------  ---------
1        0.708511     0.74552    0.759124
2        0.698718     0.75       0.725275
3        0.732906     0.760563   0.791209
4        0.739316     0.772563   0.783883
5        0.717949     0.760148   0.754579
6        0.735043     0.767025   0.783883
7        0.747863     0.777778   0.794872
8        0.707265     0.755639   0.736264
9        0.722222     0.75265    0.78022
10       0.717949     0.742268   0.791209
avg      0.722774     0.758415   0.770052
std      0.0298385    0.0218687  0.0469157
