Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.727053     0.726708   0.629032   0.674352
2        0.719128     0.72549    0.6        0.656805
3        0.719128     0.690608   0.675676   0.68306
4        0.748184     0.757962   0.643243   0.695906
5        0.731235     0.746667   0.605405   0.668657
6        0.692494     0.679012   0.594595   0.634006
7        0.694175     0.659459   0.659459   0.659459
8        0.718447     0.728477   0.594595   0.654762
9        0.701456     0.691358   0.605405   0.645533
10       0.718447     0.72549    0.6        0.656805
avg      0.716975     0.713123   0.620741   0.662934
std      0.0325731    0.0596183  0.0558213  0.0343452
