Fold      Accuracy    Precision     Recall        F1
------  ----------  -----------  ---------  --------
1        0.698068     0.661376   0.672043   0.666667
2        0.670702     0.64       0.605405   0.622222
3        0.697337     0.657895   0.675676   0.666667
4        0.663438     0.649351   0.540541   0.589971
5        0.68523      0.670807   0.583784   0.624277
6        0.702179     0.684524   0.621622   0.651558
7        0.691748     0.666667   0.627027   0.64624
8        0.68932      0.674847   0.594595   0.632184
9        0.667476     0.62766    0.637838   0.632708
10       0.674757     0.664516   0.556757   0.605882
avg      0.684025     0.659764   0.611529   0.633838
std      0.0264891    0.0320535  0.0847216  0.047157
