Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.700483     0.664894   0.672043   0.668449
2        0.726392     0.743243   0.594595   0.660661
3        0.711864     0.698795   0.627027   0.660969
4        0.7046       0.690909   0.616216   0.651429
5        0.663438     0.655405   0.524324   0.582583
6        0.661017     0.633136   0.578378   0.60452
7        0.684466     0.664671   0.6        0.630682
8        0.682039     0.707692   0.497297   0.584127
9        0.699029     0.687117   0.605405   0.643678
10       0.720874     0.727273   0.605405   0.660767
avg      0.69542      0.687313   0.592069   0.634786
std      0.0424546    0.0640426  0.0946244  0.0624299
