Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.707729     0.666667   0.698925   0.682415
2        0.743341     0.736527   0.664865   0.698864
3        0.733656     0.698413   0.713514   0.705882
4        0.743341     0.745342   0.648649   0.693642
5        0.731235     0.72561    0.643243   0.681948
6        0.750605     0.744048   0.675676   0.708215
7        0.716019     0.7125     0.616216   0.66087
8        0.718447     0.711656   0.627027   0.666667
9        0.75         0.75       0.664865   0.704871
10       0.728155     0.738562   0.610811   0.668639
avg      0.732253     0.722932   0.656379   0.687201
std      0.0280928    0.0494772  0.0644181  0.0334088
