Fold      Accuracy    Precision     Recall        F1
------  ----------  -----------  ---------  --------
1        0.76087      0.754386   0.693548   0.722689
2        0.765133     0.785714   0.654054   0.713864
3        0.760291     0.744318   0.708108   0.725762
4        0.784504     0.815789   0.67027    0.735905
5        0.789346     0.80625    0.697297   0.747826
6        0.762712     0.77707    0.659459   0.71345
7        0.737864     0.736196   0.648649   0.689655
8        0.757282     0.770701   0.654054   0.707602
9        0.764563     0.76506    0.686486   0.723647
10       0.764563     0.789474   0.648649   0.712166
avg      0.764713     0.774496   0.672058   0.719257
std      0.0269304    0.0488086  0.0424869  0.030278
