Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.763285     0.741758   0.725806   0.733696
2        0.731235     0.74026    0.616216   0.672566
3        0.753027     0.74269    0.686486   0.713483
4        0.772397     0.782609   0.681081   0.728324
5        0.782082     0.81457    0.664865   0.732143
6        0.748184     0.754717   0.648649   0.697674
7        0.723301     0.72327    0.621622   0.668605
8        0.728155     0.732484   0.621622   0.672515
9        0.754854     0.759259   0.664865   0.708934
10       0.788835     0.831081   0.664865   0.738739
avg      0.754536     0.76227    0.659608   0.706668
std      0.0428393    0.0682545  0.0649232  0.0521061
