Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.777778      0.735     0.790323   0.761658
2        0.774818      0.747312  0.751351   0.749326
3        0.77724       0.729064  0.8        0.762887
4        0.757869      0.727273  0.735135   0.731183
5        0.779661      0.764045  0.735135   0.749311
6        0.767554      0.73057   0.762162   0.746032
7        0.774272      0.764368  0.718919   0.740947
8        0.769417      0.761628  0.708108   0.733894
9        0.764563      0.736559  0.740541   0.738544
10       0.800971      0.80117   0.740541   0.769663
avg      0.774414      0.749699  0.748221   0.748344
std      0.0218638     0.044279  0.0550849  0.0245321
