Fold      Accuracy    Precision     Recall        F1
------  ----------  -----------  ---------  --------
1        0.7657       0.719212   0.784946   0.750643
2        0.774818     0.755556   0.735135   0.745205
3        0.782082     0.74359    0.783784   0.763158
4        0.772397     0.751381   0.735135   0.743169
5        0.769976     0.75       0.72973    0.739726
6        0.750605     0.715789   0.735135   0.725333
7        0.769417     0.767857   0.697297   0.730878
8        0.779126     0.783133   0.702703   0.740741
9        0.769417     0.741935   0.745946   0.743935
10       0.769417     0.764706   0.702703   0.732394
avg      0.770296     0.749316   0.735251   0.741518
std      0.0161619    0.0394228  0.0584097  0.020356
