Fold      Accuracy    Precision     Recall        F1
------  ----------  -----------  ---------  --------
1        0.582126      0.546099  0.413978   0.470948
2        0.605327      0.73913   0.183784   0.294372
3        0.617433      0.587097  0.491892   0.535294
4        0.610169      0.589552  0.427027   0.495298
5        0.631961      0.620438  0.459459   0.52795
6        0.644068      0.595     0.643243   0.618182
7        0.565534      0.555556  0.162162   0.251046
8        0.580097      0.676471  0.124324   0.210046
9        0.57767       0.666667  0.118919   0.201835
10       0.56068       0.566667  0.0918919  0.15814
avg      0.597507      0.614268  0.311668   0.376311
std      0.0539825     0.117173  0.372719   0.321232
