Fold      Accuracy    Precision    Recall        F1
------  ----------  -----------  --------  --------
1        0.589372     0.559701   0.403226  0.46875
2        0.617433     0.633663   0.345946  0.447552
3        0.624697     0.591463   0.524324  0.555874
4        0.605327     0.578571   0.437838  0.498462
5        0.619855     0.594595   0.475676  0.528529
6        0.612591     0.570621   0.545946  0.558011
7        0.599515     0.608696   0.302703  0.404332
8        0.59466      0.704545   0.167568  0.270742
9        0.567961     0.594595   0.118919  0.198198
10       0.635922     0.624113   0.475676  0.539877
avg      0.606733     0.606056   0.379782  0.447033
std      0.0374178    0.0785641  0.276395  0.234403
