Fold      Accuracy    Precision     Recall        F1
------  ----------  -----------  ---------  --------
1        0.570048      0.513245  0.833333   0.635246
2        0.610169      0.722222  0.210811   0.32636
3        0.624697      0.590361  0.52973    0.558405
4        0.605327      0.57971   0.432432   0.495356
5        0.62954       0.605263  0.497297   0.545994
6        0.622276      0.567442  0.659459   0.61
7        0.587379      0.590361  0.264865   0.365672
8        0.589806      0.7       0.151351   0.248889
9        0.558252      0.548387  0.0918919  0.157407
10       0.599515      0.579365  0.394595   0.469453
avg      0.599701      0.599636  0.406577   0.441278
std      0.0447799     0.122046  0.444006   0.303981
