Fold      Accuracy    Precision    Recall         F1
------  ----------  -----------  --------  ---------
1        0.560386     0.508929   0.612903  0.556098
2        0.624697     0.565789   0.697297  0.624697
3        0.585956     0.528455   0.702703  0.603248
4        0.590799     0.536364   0.637838  0.582716
5        0.602906     0.547945   0.648649  0.594059
6        0.600484     0.545045   0.654054  0.594595
7        0.609223     0.55       0.713514  0.621176
8        0.621359     0.565022   0.681081  0.617647
9        0.604369     0.550926   0.643243  0.593516
10       0.57767      0.526316   0.594595  0.558376
avg      0.597785     0.542479   0.658588  0.594613
std      0.0373079    0.0336862  0.074659  0.0454112
