Fold      Accuracy    Precision     Recall          F1
------  ----------  -----------  ---------  ----------
1        0.454106    0.450495    0.978495   0.616949
2        0.455206    0.450249    0.978378   0.616695
3        0.452785    0.449631    0.989189   0.618243
4        0.467312    0.455919    0.978378   0.621993
5        0.450363    0.447236    0.962162   0.610635
6        0.46247     0.453401    0.972973   0.618557
7        0.466019    0.45679     1          0.627119
8        0.453883    0.450249    0.978378   0.616695
9        0.463592    0.455446    0.994595   0.624788
10       0.456311    0.451852    0.989189   0.620339
avg      0.458205    0.452127    0.982174   0.619201
std      0.0114918   0.00595664  0.0210936  0.00883939
