Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.565217     0.523438   0.360215   0.426752
2        0.627119     0.622047   0.427027   0.50641
3        0.57385      0.533333   0.389189   0.45
4        0.598063     0.584071   0.356757   0.442953
5        0.59322      0.570248   0.372973   0.45098
6        0.595642     0.575      0.372973   0.452459
7        0.606796     0.592      0.4        0.477419
8        0.59466      0.576271   0.367568   0.448845
9        0.575243     0.546296   0.318919   0.40273
10       0.604369     0.607843   0.335135   0.432056
avg      0.593418     0.573055   0.370076   0.44906
std      0.0344747    0.0595599  0.0587871  0.0532166
