Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.572464     0.534351   0.376344   0.44164
2        0.631961     0.625954   0.443243   0.518987
3        0.588378     0.553191   0.421622   0.478528
4        0.602906     0.594595   0.356757   0.445946
5        0.590799     0.566667   0.367568   0.445902
6        0.595642     0.575      0.372973   0.452459
7        0.618932     0.606061   0.432432   0.504732
8        0.609223     0.59375    0.410811   0.485623
9        0.570388     0.536364   0.318919   0.4
10       0.604369     0.603774   0.345946   0.439863
avg      0.598506     0.578971   0.384661   0.461368
std      0.0365735    0.0588456  0.0771009  0.0671038
