Fold      Accuracy    Precision    Recall         F1
------  ----------  -----------  --------  ---------
1        0.562802     0.519084   0.365591  0.429022
2        0.624697     0.615385   0.432432  0.507937
3        0.576271     0.536232   0.4       0.458204
4        0.598063     0.581197   0.367568  0.450331
5        0.585956     0.559322   0.356757  0.435644
6        0.588378     0.560976   0.372973  0.448052
7        0.601942     0.581395   0.405405  0.477707
8        0.601942     0.581395   0.405405  0.477707
9        0.567961     0.530435   0.32973   0.406667
10       0.601942     0.6        0.340541  0.434483
avg      0.590995     0.566542   0.37764   0.452575
std      0.0353255    0.0590554  0.061385  0.0553593
