Fold      Accuracy    Precision    Recall         F1
------  ----------  -----------  --------  ---------
1        0.76087      0.730159   0.741935  0.736
2        0.760291     0.759036   0.681081  0.717949
3        0.779661     0.770115   0.724324  0.746518
4        0.748184     0.751553   0.654054  0.699422
5        0.760291     0.752941   0.691892  0.721127
6        0.767554     0.766467   0.691892  0.727273
7        0.796117     0.795322   0.735135  0.764045
8        0.764563     0.775      0.67027   0.718841
9        0.764563     0.736559   0.740541  0.738544
10       0.769417     0.777778   0.681081  0.726225
avg      0.767151     0.761493   0.701221  0.729594
std      0.0245563    0.0372698  0.060185  0.0337311
