Fold      Accuracy    Precision    Recall         F1
------  ----------  -----------  --------  ---------
1        0.799517     0.769634   0.790323  0.779841
2        0.801453     0.808383   0.72973   0.767045
3        0.799031     0.8        0.735135  0.766197
4        0.806295     0.8        0.756757  0.777778
5        0.791768     0.8        0.713514  0.754286
6        0.823245     0.845679   0.740541  0.789625
7        0.783981     0.8        0.691892  0.742029
8        0.788835     0.810127   0.691892  0.746356
9        0.781553     0.768362   0.735135  0.751381
10       0.796117     0.806061   0.718919  0.76
avg      0.797179     0.800824   0.730384  0.763454
std      0.0228742    0.0410485  0.055915  0.0294767
