Fold      Accuracy    Precision     Recall        F1
------  ----------  -----------  ---------  --------
1        0.657005     0.641026   0.537634   0.584795
2        0.675545     0.666667   0.551351   0.60355
3        0.677966     0.668831   0.556757   0.60767
4        0.641646     0.633094   0.475676   0.54321
5        0.644068     0.633803   0.486486   0.550459
6        0.668281     0.669014   0.513514   0.58104
7        0.684466     0.709924   0.502703   0.588608
8        0.660194     0.657343   0.508108   0.573171
9        0.674757     0.686131   0.508108   0.583851
10       0.650485     0.64539    0.491892   0.558282
avg      0.663441     0.661122   0.513223   0.577464
std      0.0284334    0.0462908  0.0517209  0.040563
