Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.664251     0.655629   0.532258   0.587537
2        0.670702     0.673759   0.513514   0.582822
3        0.670702     0.668966   0.524324   0.587879
4        0.639225     0.636364   0.454054   0.529968
5        0.641646     0.637037   0.464865   0.5375
6        0.668281     0.7        0.454054   0.55082
7        0.679612     0.726496   0.459459   0.562914
8        0.660194     0.674419   0.47027    0.55414
9        0.669903     0.699187   0.464865   0.558442
10       0.65534      0.666667   0.464865   0.547771
avg      0.661986     0.673852   0.480253   0.559979
std      0.0248932    0.0539094  0.0578559  0.0386968
