Fold      Accuracy    Precision     Recall        F1
------  ----------  -----------  ---------  --------
1        0.758454     0.723958   0.747312   0.73545
2        0.772397     0.745946   0.745946   0.745946
3        0.733656     0.698413   0.713514   0.705882
4        0.697337     0.66129    0.664865   0.663073
5        0.723971     0.680203   0.724324   0.701571
6        0.779661     0.752688   0.756757   0.754717
7        0.776699     0.746032   0.762162   0.754011
8        0.754854     0.747059   0.686486   0.715493
9        0.752427     0.715026   0.745946   0.730159
10       0.783981     0.769663   0.740541   0.754821
avg      0.753344     0.724028   0.728785   0.726112
std      0.0527489    0.0663107  0.0603157  0.056625
