Fold      Accuracy    Precision    Recall         F1
------  ----------  -----------  --------  ---------
1        0.809179     0.763547   0.833333  0.796915
2        0.799031     0.8        0.735135  0.766197
3        0.779661     0.752688   0.756757  0.754717
4        0.750605     0.71134    0.745946  0.728232
5        0.765133     0.736559   0.740541  0.738544
6        0.801453     0.775401   0.783784  0.77957
7        0.779126     0.75       0.762162  0.756032
8        0.786408     0.774011   0.740541  0.756906
9        0.771845     0.728643   0.783784  0.755208
10       0.769417     0.744565   0.740541  0.742547
avg      0.781186     0.753676   0.762252  0.757487
std      0.0344399    0.0487372  0.058053  0.0377956
