Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.662566     0.686486   0.769697   0.725714
2        0.666081     0.69337    0.760606   0.725434
3        0.667254     0.691257   0.768997   0.728058
4        0.619718     0.662824   0.699088   0.680473
5        0.66843      0.70317    0.741641   0.721893
6        0.650794     0.678474   0.756839   0.715517
7        0.66843      0.698592   0.753799   0.725146
8        0.673721     0.7        0.765957   0.731495
9        0.671958     0.709677   0.735562   0.722388
10       0.66843      0.691057   0.775076   0.730659
avg      0.661738     0.691491   0.752726   0.720678
std      0.0304487    0.0253772  0.0429045  0.0281885
