Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.706503     0.737609   0.766667   0.751857
2        0.711775     0.737143   0.781818   0.758824
3        0.725352     0.750725   0.787234   0.768546
4        0.702465     0.715054   0.808511   0.758916
5        0.710758     0.73913    0.775076   0.756677
6        0.694885     0.73494    0.741641   0.738275
7        0.705467     0.731429   0.778116   0.75405
8        0.694885     0.721591   0.772036   0.745962
9        0.730159     0.741758   0.820669   0.779221
10       0.728395     0.741047   0.817629   0.777457
avg      0.711064     0.735043   0.78494    0.758978
std      0.0246519    0.0194768  0.0466252  0.0246667
