Fold      Accuracy    Precision    Recall         F1
------  ----------  -----------  --------  ---------
1        0.518453     0.5875     0.569697  0.578462
2        0.493849     0.563253   0.566667  0.564955
3        0.526408     0.585227   0.62614   0.604993
4        0.471831     0.542522   0.56231   0.552239
5        0.54321      0.605422   0.610942  0.608169
6        0.485009     0.561873   0.510638  0.535032
7        0.525573     0.585227   0.62614   0.604993
8        0.525573     0.587209   0.613982  0.600297
9        0.506173     0.574468   0.574468  0.574468
10       0.513228     0.580547   0.580547  0.580547
avg      0.510931     0.577325   0.584153  0.580415
std      0.0414118    0.0333594  0.068224  0.0469275
