Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.500879     0.569697   0.569697   0.569697
2        0.527241     0.599349   0.557576   0.577708
3        0.53169      0.597523   0.586626   0.592025
4        0.545775     0.603499   0.629179   0.616071
5        0.492063     0.559078   0.589666   0.573964
6        0.518519     0.58805    0.568389   0.578053
7        0.511464     0.576923   0.592705   0.584708
8        0.497354     0.56962    0.547112   0.55814
9        0.522046     0.591772   0.568389   0.579845
10       0.500882     0.576667   0.525836   0.550079
avg      0.514791     0.583218   0.573518   0.578029
std      0.0327765    0.0283243  0.0536325  0.0343733
