Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.776801     0.795918   0.827273   0.811293
2        0.776801     0.792507   0.833333   0.812408
3        0.767606     0.804954   0.790274   0.797546
4        0.769366     0.77809    0.841945   0.808759
5        0.776014     0.798817   0.820669   0.809595
6        0.791887     0.814925   0.829787   0.822289
7        0.760141     0.791541   0.796353   0.793939
8        0.776014     0.780556   0.854103   0.815675
9        0.797178     0.803977   0.860182   0.831131
10       0.795414     0.808696   0.848024   0.827893
avg      0.778722     0.796998   0.830194   0.813053
std      0.0234178    0.0223832  0.0437042  0.0226179
