Fold      Accuracy    Precision    Recall         F1
------  ----------  -----------  --------  ---------
1        0.690685     0.716292   0.772727  0.74344
2        0.671353     0.690667   0.784848  0.734752
3        0.669014     0.687003   0.787234  0.733711
4        0.660211     0.671717   0.808511  0.733793
5        0.689594     0.711911   0.781155  0.744928
6        0.670194     0.681122   0.81155   0.740638
7        0.661376     0.676093   0.799392  0.732591
8        0.703704     0.704835   0.841945  0.767313
9        0.70194      0.724719   0.784195  0.753285
10       0.684303     0.700535   0.796353  0.745377
avg      0.680238     0.696489   0.796791  0.742983
std      0.0303149    0.0340743  0.038038  0.0205862
