Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.72232      0.741573   0.8        0.769679
2        0.738137     0.742627   0.839394   0.788051
3        0.737676     0.757143   0.805471   0.78056
4        0.739437     0.756374   0.81155    0.782991
5        0.746032     0.768116   0.805471   0.78635
6        0.742504     0.768328   0.796353   0.78209
7        0.751323     0.76257    0.829787   0.79476
8        0.749559     0.761905   0.826748   0.793003
9        0.75485      0.765363   0.832827   0.797671
10       0.749559     0.753388   0.844985   0.796562
avg      0.74314      0.757739   0.819259   0.787172
std      0.0178587    0.0182153  0.0331873  0.0165462
