Fold      Accuracy    Precision    Recall         F1
------  ----------  -----------  --------  ---------
1        0.741652     0.768328   0.793939  0.780924
2        0.743409     0.780488   0.775758  0.778116
3        0.709507     0.744048   0.759878  0.75188
4        0.723592     0.759036   0.765957  0.762481
5        0.719577     0.768987   0.738602  0.753488
6        0.744268     0.777108   0.784195  0.780635
7        0.696649     0.727536   0.762918  0.744807
8        0.765432     0.763441   0.863222  0.810271
9        0.742504     0.781538   0.772036  0.776758
10       0.747795     0.78012    0.787234  0.783661
avg      0.733439     0.765063   0.780374  0.772302
std      0.0390454    0.0334431  0.062858  0.0368324
