Fold      Accuracy    Precision     Recall        F1
------  ----------  -----------  ---------  --------
1        0.734622     0.772036   0.769697   0.770865
2        0.741652     0.781538   0.769697   0.775573
3        0.727113     0.766871   0.759878   0.763359
4        0.730634     0.76506    0.772036   0.768533
5        0.726631     0.773585   0.74772    0.760433
6        0.738977     0.783699   0.759878   0.771605
7        0.712522     0.751515   0.753799   0.752656
8        0.753086     0.770774   0.817629   0.79351
9        0.75485      0.800633   0.768997   0.784496
10       0.75485      0.800633   0.768997   0.784496
avg      0.737494     0.776634   0.768833   0.772552
std      0.0266064    0.0293316  0.0359166  0.023502
