Fold      Accuracy    Precision    Recall         F1
------  ----------  -----------  --------  ---------
1        0.743409      0.7875    0.763636  0.775385
2        0.748682      0.789474  0.772727  0.781011
3        0.727113      0.762048  0.768997  0.765507
4        0.760563      0.77971   0.817629  0.79822
5        0.733686      0.787097  0.741641  0.763693
6        0.77425       0.811146  0.796353  0.803681
7        0.728395      0.761194  0.775076  0.768072
8        0.740741      0.76      0.808511  0.783505
9        0.770723      0.817891  0.778116  0.797508
10       0.767196      0.792285  0.81155   0.801802
avg      0.749476      0.784834  0.783424  0.783838
std      0.0335244     0.037923  0.04611   0.0295303
