Fold      Accuracy    Precision    Recall         F1
------  ----------  -----------  --------  ---------
1        0.602812      0.598485  0.957576  0.736597
2        0.632689      0.62955   0.890909  0.737767
3        0.640845      0.650602  0.820669  0.725806
4        0.609155      0.618625  0.848024  0.715385
5        0.636684      0.664     0.756839  0.707386
6        0.633157      0.643026  0.826748  0.723404
7        0.617284      0.727642  0.544073  0.622609
8        0.613757      0.608696  0.93617   0.737725
9        0.613757      0.611789  0.914894  0.733252
10       0.620811      0.613095  0.93921   0.741897
avg      0.622095      0.636551  0.843511  0.718183
std      0.0245124     0.072247  0.23332   0.0670466
