Fold      Accuracy    Precision    Recall         F1
------  ----------  -----------  --------  ---------
1        0.579965      0.630372  0.666667  0.648012
2        0.627417      0.666667  0.715152  0.690058
3        0.552817      0.628866  0.556231  0.590323
4        0.570423      0.662835  0.525836  0.586441
5        0.552028      0.597911  0.696049  0.643258
6        0.564374      0.588362  0.829787  0.688525
7        0.583774      0.650485  0.610942  0.630094
8        0.56261       0.589404  0.81155   0.682864
9        0.585538      0.605381  0.820669  0.696774
10       0.557319      0.582979  0.832827  0.685857
avg      0.573626      0.620326  0.706571  0.654221
std      0.0427134     0.060453  0.220318  0.0787684
