Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.609842     0.690141   0.593939   0.638436
2        0.604569     0.667732   0.633333   0.650078
3        0.565141     0.632258   0.595745   0.613459
4        0.570423     0.656827   0.541033   0.593333
5        0.559083     0.640569   0.547112   0.590164
6        0.590829     0.678967   0.559271   0.613333
7        0.567901     0.677966   0.486322   0.566372
8        0.571429     0.65035    0.56535    0.604878
9        0.601411     0.660436   0.644377   0.652308
10       0.578483     0.669173   0.541033   0.598319
avg      0.581911     0.662442   0.570752   0.612068
std      0.0346731    0.0342102  0.0896972  0.0526211
