Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.602812     0.605263   0.906061   0.725728
2        0.627417     0.620408   0.921212   0.741463
3        0.580986     0.593429   0.878419   0.708333
4        0.603873     0.605263   0.908815   0.72661
5        0.608466     0.613108   0.881459   0.723192
6        0.61552      0.613035   0.914894   0.734146
7        0.622575     0.619543   0.905775   0.735802
8        0.611993     0.612371   0.902736   0.72973
9        0.61552      0.613497   0.911854   0.733496
10       0.611993     0.613306   0.896657   0.728395
avg      0.610115     0.610922   0.902788   0.72869
std      0.0241959    0.0149399  0.0261572  0.0170354
