Fold      Accuracy    Precision    Recall         F1
------  ----------  -----------  --------  ---------
1        0.602812     0.652941   0.672727  0.662687
2        0.59051      0.624679   0.736364  0.675939
3        0.575704     0.616402   0.708207  0.659123
4        0.572183     0.631902   0.62614   0.629008
5        0.560847     0.622699   0.617021  0.619847
6        0.56261      0.624615   0.617021  0.620795
7        0.578483     0.673077   0.531915  0.594228
8        0.580247     0.634218   0.653495  0.643713
9        0.578483     0.617801   0.717325  0.663854
10       0.610229     0.673077   0.638298  0.655226
avg      0.581211     0.637141   0.651851  0.642442
std      0.0302223    0.0409552  0.114367  0.0486534
