Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.595782     0.594697   0.951515   0.731935
2        0.586995     0.5878     0.963636   0.730195
3        0.572183     0.580524   0.942249   0.718424
4        0.577465     0.584121   0.93921    0.72028
5        0.566138     0.579048   0.924012   0.711944
6        0.57672      0.58349    0.945289   0.721578
7        0.601411     0.60404    0.908815   0.725728
8        0.585538     0.591085   0.927052   0.721893
9        0.578483     0.583333   0.957447   0.724971
10       0.592593     0.596078   0.924012   0.724672
avg      0.583331     0.588422   0.938324   0.723162
std      0.0210475    0.0150782  0.0325738  0.0109414
