Fold      Accuracy    Precision    Recall         F1
------  ----------  -----------  --------  ---------
1         0.601054    0.596623   0.963636  0.736964
2         0.636204    0.623742   0.939394  0.749698
3         0.588028    0.605322   0.829787  0.7
4         0.598592    0.594041   0.969605  0.736721
5         0.594356    0.627907   0.738602  0.678771
6         0.599647    0.594796   0.972644  0.738178
7         0.604938    0.601547   0.945289  0.735225
8         0.601411    0.594843   0.981763  0.740826
9         0.608466    0.608519   0.911854  0.729927
10        0.62963     0.621181   0.927052  0.743902
avg       0.606233    0.606852   0.917963  0.729021
std       0.028821    0.0247023  0.145719  0.0419578
