Fold      Accuracy    Precision     Recall        F1
------  ----------  -----------  ---------  --------
1        0.585237    0.583929    0.990909   0.734831
2        0.579965    0.580817    0.990909   0.732363
3        0.580986    0.590818    0.899696   0.713253
4        0.575704    0.579137    0.978723   0.727684
5        0.559083    0.573284    0.93921    0.711982
6        0.578483    0.580071    0.990881   0.731762
7        0.585538    0.585766    0.975684   0.732041
8        0.583774    0.586271    0.960486   0.728111
9        0.580247    0.580247    1          0.734375
10       0.580247    0.581982    0.981763   0.730769
avg      0.578926    0.582232    0.970826   0.727717
std      0.0144249   0.00907156  0.0580743  0.015721
