Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.699473     0.76412    0.69697    0.729002
2        0.727592     0.783172   0.733333   0.757433
3        0.68838      0.734568   0.723404   0.728943
4        0.704225     0.762215   0.711246   0.735849
5        0.707231     0.770764   0.705167   0.736508
6        0.708995     0.757862   0.732523   0.744977
7        0.703704     0.747692   0.738602   0.743119
8        0.716049     0.764151   0.738602   0.751159
9        0.726631     0.780645   0.735562   0.757433
10       0.705467     0.75       0.738602   0.744257
avg      0.708775     0.761519   0.725401   0.742868
std      0.0226991    0.0282694  0.0294059  0.0197523
