Fold      Accuracy    Precision     Recall        F1
------  ----------  -----------  ---------  --------
1        0.662566     0.667476   0.833333   0.74124
2        0.685413     0.683698   0.851515   0.758435
3        0.653169     0.654206   0.851064   0.739762
4        0.630282     0.649123   0.787234   0.711538
5        0.657848     0.667494   0.817629   0.734973
6        0.666667     0.665877   0.854103   0.748336
7        0.657848     0.663438   0.832827   0.738544
8        0.650794     0.654846   0.841945   0.736702
9        0.659612     0.665854   0.829787   0.738836
10       0.656085     0.657277   0.851064   0.741722
avg      0.658028     0.662929   0.83505    0.739009
std      0.0260562    0.0184863  0.0390896  0.022394
