Fold      Accuracy    Precision    Recall         F1
------  ----------  -----------  --------  ---------
1        0.70826       0.748485  0.748485  0.748485
2        0.681898      0.733542  0.709091  0.721109
3        0.640845      0.678063  0.723404  0.7
4        0.665493      0.722045  0.68693   0.70405
5        0.710758      0.758621  0.735562  0.746914
6        0.728395      0.772586  0.753799  0.763077
7        0.663139      0.715625  0.696049  0.705701
8        0.693122      0.728614  0.75076   0.739521
9        0.712522      0.756173  0.744681  0.750383
10       0.703704      0.741742  0.75076   0.746224
avg      0.690814      0.735549  0.729952  0.732546
std      0.0519254     0.050877  0.046925  0.0432167
