Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.785589     0.820988   0.806061   0.813456
2        0.806678     0.839506   0.824242   0.831804
3        0.794014     0.825153   0.817629   0.821374
4        0.834507     0.850746   0.866261   0.858434
5        0.805996     0.845426   0.81459    0.829721
6        0.820106     0.867314   0.81459    0.840125
7        0.816578     0.833828   0.854103   0.843844
8        0.805996     0.832827   0.832827   0.832827
9        0.809524     0.833837   0.838906   0.836364
10       0.821869     0.845455   0.848024   0.846737
avg      0.810086     0.839508   0.831723   0.835469
std      0.0266952    0.0255184  0.0374838  0.0243613
