Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.511952     0.568254   0.621528   0.593698
2        0.501992     0.563758   0.583333   0.573379
3        0.525896     0.582781   0.611111   0.59661
4        0.488048     0.553633   0.555556   0.554593
5        0.512974     0.571895   0.607639   0.589226
6        0.532934     0.594406   0.590278   0.592334
7        0.502        0.567857   0.554007   0.560847
8        0.496        0.562278   0.550523   0.556338
9        0.5          0.562712   0.578397   0.570447
10       0.49         0.552632   0.585366   0.568528
avg      0.50618      0.568021   0.583774   0.5756
std      0.0279385    0.0241023  0.0473461  0.0306344
