Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.503984     0.564784   0.590278   0.57725
2        0.543825     0.602787   0.600694   0.601739
3        0.50996      0.57       0.59375    0.581633
4        0.484064     0.548822   0.565972   0.557265
5        0.47505      0.545455   0.520833   0.53286
6        0.51497      0.580071   0.565972   0.572935
7        0.51         0.574468   0.56446    0.56942
8        0.478        0.542484   0.578397   0.559865
9        0.468        0.538462   0.512195   0.525
10       0.502        0.566434   0.56446    0.565445
avg      0.498985     0.563377   0.565701   0.564341
std      0.0435337    0.0379498  0.0553379  0.0427739
