Fold      Accuracy    Precision     Recall        F1
------  ----------  -----------  ---------  --------
1        0.778884     0.782748   0.850694   0.815308
2        0.772908     0.791946   0.819444   0.805461
3        0.74502      0.773973   0.784722   0.77931
4        0.768924     0.790541   0.8125     0.80137
5        0.792415     0.798701   0.854167   0.825503
6        0.774451     0.788779   0.829861   0.808799
7        0.806        0.820946   0.84669    0.833619
8        0.756        0.795699   0.773519   0.784452
9        0.752        0.762058   0.825784   0.792642
10       0.748        0.771044   0.797909   0.784247
avg      0.76946      0.787643   0.819529   0.803071
std      0.0375867    0.0314035  0.0525353  0.034652
