Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.760956     0.77451    0.822917   0.79798
2        0.788845     0.809524   0.826389   0.817869
3        0.737052     0.767123   0.777778   0.772414
4        0.739044     0.771626   0.774306   0.772964
5        0.756487     0.764331   0.833333   0.797342
6        0.740519     0.75817    0.805556   0.781145
7        0.74         0.766102   0.787456   0.776632
8        0.748        0.765677   0.808362   0.786441
9        0.734        0.75       0.804878   0.776471
10       0.764        0.786441   0.808362   0.797251
avg      0.75089      0.77135    0.804934   0.787651
std      0.0322285    0.0313141  0.0379217  0.0278856
