Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.790837     0.8        0.847222   0.822934
2        0.784861     0.804054   0.826389   0.815068
3        0.747012     0.776632   0.784722   0.780656
4        0.760956     0.791667   0.791667   0.791667
5        0.756487     0.759375   0.84375    0.799342
6        0.750499     0.770764   0.805556   0.787776
7        0.77         0.798611   0.801394   0.8
8        0.734        0.761905   0.780488   0.771084
9        0.748        0.767442   0.804878   0.785714
10       0.784        0.809689   0.815331   0.8125
avg      0.762665     0.784014   0.81014    0.796674
std      0.0361449    0.0357131  0.0437606  0.0311921
