Fold      Accuracy    Precision    Recall        F1
------  ----------  -----------  --------  --------
1        0.515936      0.727273  0.25      0.372093
2        0.551793      0.818182  0.28125   0.418605
3        0.593625      0.610526  0.805556  0.694611
4        0.583665      0.736527  0.427083  0.540659
5        0.630739      0.624096  0.899306  0.736842
6        0.642715      0.622472  0.961806  0.755798
7        0.622         0.628272  0.836237  0.717489
8        0.606         0.602273  0.923345  0.729023
9        0.622         0.606061  0.97561   0.747664
10       0.602         0.61      0.850174  0.710335
avg      0.597047      0.658568  0.721037  0.642312
std      0.0731801     0.141812  0.541949  0.273381
