Fold      Accuracy    Precision    Recall        F1
------  ----------  -----------  --------  --------
1        0.611554      0.633238  0.767361  0.693878
2        0.563745      0.80531   0.315972  0.453865
3        0.541833      0.719697  0.329861  0.452381
4        0.593625      0.725806  0.46875   0.56962
5        0.620758      0.665541  0.684028  0.674658
6        0.646707      0.625282  0.961806  0.757866
7        0.622         0.612385  0.930314  0.738589
8        0.6           0.600462  0.905923  0.722222
9        0.638         0.621005  0.947735  0.750345
10       0.574         0.603352  0.752613  0.669767
avg      0.601222      0.661208  0.706436  0.648319
std      0.0634775     0.128823  0.477689  0.220587
