Fold      Accuracy    Precision    Recall        F1
------  ----------  -----------  --------  --------
1        0.525896      0.735849  0.270833  0.395939
2        0.565737      0.818182  0.3125    0.452261
3        0.557769      0.75      0.34375   0.471429
4        0.593625      0.721053  0.475694  0.573222
5        0.622754      0.614849  0.920139  0.737135
6        0.642715      0.623025  0.958333  0.75513
7        0.606         0.622283  0.797909  0.699237
8        0.598         0.598174  0.912892  0.722759
9        0.628         0.619385  0.912892  0.738028
10       0.608         0.610706  0.874564  0.719198
avg      0.59485       0.67135   0.677951  0.626434
std      0.0676888     0.147029  0.548674  0.264406
