Fold      Accuracy    Precision     Recall        F1
------  ----------  -----------  ---------  --------
1        0.601594     0.601852   0.902778   0.722222
2        0.611554     0.606897   0.916667   0.73029
3        0.60757      0.602709   0.927083   0.730506
4        0.625498     0.616822   0.916667   0.73743
5        0.622754     0.614319   0.923611   0.737864
6        0.644711     0.627315   0.940972   0.752778
7        0.614        0.609813   0.909408   0.73007
8        0.588        0.593968   0.891986   0.713092
9        0.64         0.625882   0.926829   0.747191
10       0.61         0.604545   0.926829   0.731774
avg      0.616568     0.610412   0.918283   0.733322
std      0.0325901    0.0203132  0.0267032  0.021642
