Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.629482     0.626866   0.875      0.730435
2        0.631474     0.629073   0.871528   0.730713
3        0.583665     0.600509   0.819444   0.693098
4        0.633466     0.642857   0.8125     0.717791
5        0.618762     0.632153   0.805556   0.708397
6        0.638723     0.64042    0.847222   0.729447
7        0.62         0.620948   0.867596   0.723837
8        0.608        0.611247   0.87108    0.718391
9        0.634        0.639037   0.832753   0.723147
10       0.584        0.603133   0.804878   0.689552
avg      0.618157     0.624624   0.840756   0.716481
std      0.0383521    0.0290314  0.0552964  0.0283305
