Fold      Accuracy    Precision     Recall        F1
------  ----------  -----------  ---------  --------
1        0.629482     0.623786   0.892361   0.734286
2        0.613546     0.623037   0.826389   0.710448
3        0.587649     0.605195   0.809028   0.692422
4        0.633466     0.63198    0.864583   0.730205
5        0.626747     0.632546   0.836806   0.720478
6        0.638723     0.636829   0.864583   0.733432
7        0.61         0.614428   0.860627   0.716981
8        0.602        0.611111   0.843206   0.708638
9        0.64         0.652422   0.797909   0.717868
10       0.592        0.610667   0.797909   0.691843
avg      0.617361     0.6242     0.83934    0.71566
std      0.0362981    0.0275595  0.0602652  0.028899
