Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.898406     0.918728   0.902778   0.910683
2        0.874502     0.937743   0.836806   0.884404
3        0.834661     0.862191   0.847222   0.854641
4        0.826693     0.868132   0.822917   0.84492
5        0.860279     0.865772   0.895833   0.880546
6        0.868263     0.880137   0.892361   0.886207
7        0.856        0.90566    0.836237   0.869565
8        0.816        0.870722   0.797909   0.832727
9        0.874        0.902878   0.874564   0.888496
10       0.854        0.890511   0.850174   0.869875
avg      0.856281     0.890247   0.85568    0.872206
std      0.0471201    0.0482614  0.0656647  0.0437458
