Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.850598     0.88172    0.854167   0.867725
2        0.836653     0.89313    0.8125     0.850909
3        0.796813     0.847015   0.788194   0.816547
4        0.830677     0.848797   0.857639   0.853195
5        0.834331     0.859649   0.850694   0.855148
6        0.840319     0.874101   0.84375    0.858657
7        0.852        0.892989   0.843206   0.867384
8        0.804        0.856604   0.790941   0.822464
9        0.83         0.853147   0.850174   0.851658
10       0.832        0.898039   0.797909   0.845018
avg      0.830739     0.870519   0.828917   0.848871
std      0.0337886    0.0376811  0.0534577  0.0323791
