Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.836653     0.867857   0.84375    0.855634
2        0.874502     0.909091   0.868056   0.888099
3        0.806773     0.849817   0.805556   0.827094
4        0.830677     0.858657   0.84375    0.851138
5        0.832335     0.851724   0.857639   0.854671
6        0.836327     0.89313    0.8125     0.850909
7        0.868        0.929961   0.832753   0.878676
8        0.794        0.840741   0.790941   0.815081
9        0.836        0.854671   0.860627   0.857639
10       0.822        0.886719   0.790941   0.836096
avg      0.833727     0.874237   0.830651   0.851504
std      0.0460923    0.0555846  0.0547235  0.0414858
