Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.629482     0.617512   0.930556   0.742382
2        0.623506     0.614849   0.920139   0.737135
3        0.61753      0.610092   0.923611   0.734807
4        0.633466     0.623223   0.913194   0.740845
5        0.616766     0.621212   0.854167   0.719298
6        0.658683     0.643032   0.913194   0.754663
7        0.634        0.622066   0.923345   0.743338
8        0.616        0.608696   0.926829   0.734807
9        0.646        0.633495   0.909408   0.746781
10       0.654        0.637019   0.923345   0.753912
avg      0.632943     0.623119   0.913779   0.740797
std      0.0294289    0.0217231  0.0416909  0.0195593
