Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.635458     0.639257   0.836806   0.724812
2        0.609562     0.629944   0.774306   0.694704
3        0.59761      0.614362   0.802083   0.695783
4        0.631474     0.638814   0.822917   0.719272
5        0.634731     0.64624    0.805556   0.717156
6        0.632735     0.647727   0.791667   0.7125
7        0.61         0.625      0.801394   0.70229
8        0.626        0.634409   0.8223     0.716237
9        0.636        0.64624    0.808362   0.718266
10       0.596        0.616438   0.783972   0.690184
avg      0.620957     0.633843   0.804936   0.70912
std      0.0304559    0.0230679  0.0359281  0.0232423
