Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.840637     0.858621   0.864583   0.861592
2        0.828685     0.871324   0.822917   0.846429
3        0.816733     0.84507    0.833333   0.839161
4        0.840637     0.866197   0.854167   0.86014
5        0.826347     0.833887   0.871528   0.852292
6        0.820359     0.834459   0.857639   0.84589
7        0.85         0.873239   0.864111   0.868651
8        0.818        0.847518   0.832753   0.84007
9        0.832        0.834983   0.881533   0.857627
10       0.844        0.874552   0.850174   0.862191
avg      0.83174      0.853985   0.853274   0.853404
std      0.0221275    0.0318277  0.0354791  0.0192556
