Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.756972     0.79021    0.784722   0.787456
2        0.711155     0.750877   0.743056   0.746946
3        0.695219     0.745455   0.711806   0.728242
4        0.737052     0.756579   0.798611   0.777027
5        0.734531     0.754098   0.798611   0.775717
6        0.712575     0.751748   0.746528   0.749129
7        0.7          0.743772   0.728223   0.735915
8        0.722        0.748322   0.777003   0.762393
9        0.726        0.756849   0.770035   0.763385
10       0.748        0.782456   0.777003   0.77972
avg      0.72435      0.758037   0.76356    0.760593
std      0.0382154    0.0296474  0.0563778  0.0377921
