Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.802789     0.807818   0.861111   0.833613
2        0.792829     0.833333   0.798611   0.815603
3        0.798805     0.814815   0.840278   0.82735
4        0.790837     0.8        0.847222   0.822934
5        0.776447     0.793333   0.826389   0.809524
6        0.764471     0.791096   0.802083   0.796552
7        0.808        0.839858   0.8223     0.830986
8        0.83         0.853147   0.850174   0.851658
9        0.846        0.847682   0.891986   0.86927
10       0.794        0.835766   0.797909   0.816399
avg      0.800418     0.821685   0.833806   0.827389
std      0.0450595    0.0437226  0.0577625  0.0397206
